Cantidad de simbolos = 4153
Longitud media = 9.355229149593251
Rendimiento = 0.9953819652238401
Redundancia = 0.004618034776159852

Diccionario de Codificación por Shannon-Fano

SIMBOLO				CODIFICACION
que				0000
de				00010
y				00011
la				00100
a				00101
en				00110
el				00111
no				010000
se				010001
los				010010
con				0100110
su				0100111
le				010100
lo				0101010
por				0101011
las				0101100
del				01011010
como				01011011
don				0101110
es				01011110
porque				01011111
mi				0110000
me				01100010
más				01100011
había				01100100
un				01100101
si				01100110
al				01100111
yo				01101000
para				01101001
todos				01101010
sin				011010110
ser				011010111
tan				01101100
todo				011011010
él				011011011
o				01101110
sus				011011110
una				011011111
Y				01110000
que,				011100010
ya				011100011
quien				011100100
cual				011100101
esto				011100110
ha				011100111
donde				011101000
era				011101001
fue				01110101
bien				011101100
ni				011101101
te				011101110
estaba				011101111
esta				011110000
aunque				011110001
tenía				011110010
dos				0111100110
cuando				0111100111
ella				011110100
os				011110101
sino				011110110
hasta				0111101110
-dijo				0111101111
y,				011111000
aquel				0111110010
dijo				0111110011
he				011111010
tanto				0111110110
así				0111110111
habían				011111100
decir				0111111010
uno				0111111011
este				0111111100
aquella				0111111101
otra				011111111
así,				1000000000
Dorotea,				1000000001
señor				100000001
ahora				1000000100
señora				1000000101
allí				1000000110
cosa				1000000111
pero				100000100
mucho				1000001010
hacer				1000001011
-respondió				1000001100
Dorotea				1000001101
tiene				1000001110
Fernando				1000001111
casa				1000010000
Cardenio				1000010001
está				1000010010
fin				1000010011
tu				1000010100
lugar				1000010101
vuestra				1000010110
puede				1000010111
cielo				1000011000
dijo:				1000011001
ver				1000011010
muy				1000011011
Quijote				1000011100
aquí				1000011101
Anselmo				1000011110
buen				1000011111
Luscinda,				1000100000
otro				1000100001
hizo				1000100010
quiso				1000100011
les				1000100100
dar				1000100101
ellos				1000100110
saber				1000100111
mis				1000101000
quiero				1000101001
esto,				1000101010
En				1000101011
cada				1000101100
todas				1000101101
Luscinda				1000101110
mal				10001011110
mil				10001011111
luego				10001100000
toda				10001100001
vio				1000110001
cabeza				1000110010
nos				1000110011
han				1000110100
vino				1000110101
son				1000110110
sólo				10001101110
Dios				10001101111
qué				10001110000
pues,				10001110001
gran				1000111001
merced				1000111010
pues				1000111011
entre				10001111000
puesto				10001111001
buena				1000111101
tres				1000111110
Quijote,				1000111111
poco				1001000000
mucha				1001000001
viendo				1001000010
padre				10010000110
caballero				10010000111
haber				10010001000
mas				10010001001
cura				1001000101
algún				10010001100
fin,				10010001101
tiempo				1001000111
armas				10010010000
sea				10010010001
parte				1001001001
sé				1001001010
tal				10010010110
nuevas				10010010111
Fernando,				10010011000
cuanto				10010011001
estas				1001001101
Camila				10010011100
tanta				10010011101
ojos				1001001111
voluntad				10010100000
cuales				10010100001
hay				1001010001
-No				10010100100
hecho				10010100101
razones				1001010011
fuera				10010101000
Sancho				10010101001
cuenta				1001010101
día				1001010110
alguna				10010101110
e				10010101111
tus				10010110000
tierra				10010110001
dio				10010110010
tú				10010110011
visto				10010110100
gigante				10010110101
noche				1001011011
demás				10010111000
hermosa				10010111001
muchos				10010111010
mesmo				10010111011
después				10010111100
casi				10010111101
princesa				1001011111
muerte				10011000000
él,				10011000001
soy				1001100001
tener				10011000100
pies				10011000101
mejor				10011000110
cosas				10011000111
estaba,				10011001000
sobre				10011001001
cómo				10011001010
El				10011001011
No				10011001100
desta				10011001101
cautivo				10011001110
dejó				10011001111
fuese				10011010000
tienen				10011010001
podía				10011010010
iba				10011010011
grande				10011010100
Camila,				10011010101
tantos				10011010110
días				10011010111
razón				10011011000
vida				10011011001
hace				10011011010
tengo				10011011011
camino				10011011100
tuvo				10011011101
rostro,				10011011110
sangre				10011011111
eran				100111000000
letras				100111000001
aposento,				10011100001
otros				10011100010
parece				10011100011
Cardenio,				10011100100
dicho,				10011100101
Juan				10011100110
Pero				10011100111
menester				100111010000
mayor				100111010001
quién				10011101001
cueros				10011101010
Si				10011101011
no,				10011101100
caballero,				10011101101
ninguna				10011101110
nuestro				10011101111
daba				100111100000
dado				100111100001
puso				10011110001
junto				10011110010
vuestro				10011110011
manera				10011110100
general				10011110101
tierra,				10011110110
discurso				10011110111
traje				100111110000
entró				100111110001
vida.				10011111001
delante				10011111010
cuantos				10011111011
mío,				10011111100
rostro				10011111101
aposento				10011111110
brazos				10011111111
cual,				101000000000
mitad				101000000001
misma				10100000001
cabeza,				10100000010
guerra				10100000011
señor,				101000001000
salió				101000001001
A				10100000101
famoso				10100000110
otras				10100000111
manos				101000010000
fueron				101000010001
Cardenio;				10100001001
punto				10100001010
hacienda				10100001011
estos				101000011000
toca				101000011001
batalla				10100001101
quizá				10100001110
vos				10100001111
aquellos				101000100000
La				101000100001
mía,				10100010001
hubo				101000100100
Sancho,				101000100101
ninguno				10100010011
hombre				101000101000
antes				101000101001
mujer				10100010101
vi				10100010110
menos,				10100010111
creyendo				101000110000
dicho				101000110001
paz				10100011001
todos,				10100011010
halló				10100011011
muestras				101000111000
pobreza				101000111001
deste				10100011101
llegó				10100011110
