Cantidad de simbolos = 4153
Longitud media = 9.339847443736884
Rendimiento = 0.9970212503081027
Redundancia = 0.0029787496918972645

Diccionario de Codificación por Huffman

SIMBOLO				CODIFICACION
que				0101
de				11111
y				11110
la				01110
a				01001
en				00100
el				00001
no				010001
se				010000
los				000101
con				1110110
su				1110100
le				1101110
lo				1101101
por				1101011
las				0111100
del				0000011
como				0000001
don				11101011
es				11011001
porque				11011000
mi				11010011
me				11010001
más				11001100
había				11001001
un				11001010
si				11000111
al				10011101
yo				01100001
para				00111111
todos				00111010
sin				00111100
ser				00111001
tan				00111000
todo				00010001
él				00010000
o				111010100
sus				111001111
una				110111100
Y				110101011
que,				110100100
ya				110101000
quien				110100000
cual				110010111
esto				110011101
ha				110010001
donde				110001011
era				110001010
fue				110001100
bien				011011101
ni				011011100
te				011011110
estaba				011010110
esta				011001001
aunque				001110111
tenía				001101111
dos				001010100
cuando				001101100
ella				001101010
os				001101101
sino				001010011
hasta				000001010
-dijo				000001001
y,				000001000
aquel				1110111100
dijo				1110111110
he				000000001
tanto				000000010
así				1110111000
habían				1110101011
decir				1110101010
uno				1110001000
este				1110001001
aquella				1101111110
otra				1110011101
así,				1101010011
Dorotea,				1101010100
señor				1101010101
ahora				1101010010
señora				1101000010
allí				1100110100
cosa				1100111110
pero				1100111001
mucho				1100111101
hacer				1100100000
-respondió				1100011010
Dorotea				1100011011
tiene				1100101100
Fernando				1100100001
casa				1100010011
Cardenio				1010111100
está				0111110010
fin				1000001000
tu				1010010100
lugar				1000000001
vuestra				1001000100
puede				1011111101
cielo				1001011110
dijo:				0110110001
ver				0110101111
muy				0110110010
Quijote				0110110000
aquí				0110110101
Anselmo				0110110011
buen				0110101110
Luscinda,				0110101011
otro				0110110110
hizo				0110110100
quiso				0110010000
les				0110001011
dar				0110011001
ellos				0110011110
saber				0110001001
mis				0110011100
quiero				0110100010
esto,				0110001100
En				0110001110
cada				0110010001
todas				0110101001
Luscinda				0110011000
mal				0110000010
mil				0110000001
luego				0011111000
toda				0011110111
vio				0011110110
cabeza				0011111011
nos				0011110100
han				0011101101
vino				0011111001
son				0011110101
sólo				0110000000
Dios				0011000111
qué				0011000110
pues,				0010111100
gran				0001111101
merced				0001100001
pues				0010100101
entre				0011010110
puesto				0011000101
buena				0001100000
tres				0001100101
Quijote,				0011010001
poco				0011010000
mucha				0011000100
viendo				0001100011
padre				11101111010
caballero				11101110100
haber				11101111110
mas				11101110010
cura				11101110111
algún				11101111011
fin,				11101110110
tiempo				11101110011
armas				0000000001
sea				0000000000
parte				0000000110
sé				11101111111
tal				0000000111
nuevas				11100011010
Fernando,				11100101010
cuanto				11100100010
estas				11100110000
Camila				11100110001
tanta				11100001111
ojos				11100100011
voluntad				11100111000
cuales				11100111001
hay				11100101011
-No				11011110101
hecho				11100011100
razones				11100110110
fuera				11100000100
Sancho				11100001001
cuenta				11100001100
día				11011110100
alguna				11100001101
e				11010010100
tus				11001101110
tierra				11001101111
dio				11001110001
tú				11001111001
visto				11001111000
gigante				11001101101
noche				11010010101
demás				11001101100
hermosa				11001011010
muchos				11001111111
mesmo				11010010110
después				11001101011
casi				11001011011
princesa				11001101010
muerte				11001111110
él,				11010000110
soy				11010000111
tener				11001110000
pies				10111010000
mejor				11000000000
cosas				10001001000
estaba,				10001010000
sobre				10110011001
cómo				01111010011
El				01111101110
