Cantidad de simbolos = 4153
Longitud media = 9.394061652902844
Rendimiento = 0.9912673261159609
Redundancia = 0.008732673884039088

Diccionario de Codificación por Shannon-Fano

SIMBOLO				CODIFICACION
que				00000
de				00001
y				0001
la				001000
a				001001
en				00101
el				00110
no				00111
se				0100000
los				0100001
con				010001
su				0100100
le				0100101
lo				010011
por				0101000
las				0101001
del				0101010
como				0101011
don				01011000
es				01011001
porque				0101101
mi				0101110
me				0101111
más				01100000
había				01100001
un				01100010
si				01100011
al				01100100
yo				01100101
para				01100110
todos				01100111
sin				011010000
ser				011010001
tan				01101001
todo				01101010
él				01101011
o				011011000
sus				011011001
una				01101101
Y				01101110
que,				01101111
ya				011100000
quien				011100001
cual				011100010
esto				011100011
ha				011100100
donde				011100101
era				01110011
fue				011101000
bien				011101001
ni				011101010
te				011101011
estaba				011101100
esta				011101101
aunque				011101110
tenía				011101111
dos				0111100000
cuando				0111100001
ella				011110001
os				011110010
sino				011110011
hasta				0111101000
-dijo				0111101001
y,				011110101
aquel				011110110
dijo				011110111
he				0111110000
tanto				0111110001
así				011111001
habían				011111010
decir				011111011
uno				0111111000
este				0111111001
aquella				011111101
otra				011111110
así,				011111111
Dorotea,				1000000000
señor				1000000001
ahora				1000000010
señora				1000000011
allí				1000000100
cosa				1000000101
pero				100000011
mucho				1000001000
hacer				1000001001
-respondió				1000001010
Dorotea				1000001011
tiene				1000001100
Fernando				1000001101
casa				100000111
Cardenio				1000010000
está				1000010001
fin				1000010010
tu				1000010011
lugar				1000010100
vuestra				1000010101
puede				1000010110
cielo				1000010111
dijo:				1000011000
ver				1000011001
muy				1000011010
Quijote				1000011011
aquí				1000011100
Anselmo				1000011101
buen				1000011110
Luscinda,				1000011111
otro				10001000000
hizo				10001000001
quiso				1000100001
les				1000100010
dar				1000100011
ellos				1000100100
saber				1000100101
mis				1000100110
quiero				1000100111
esto,				10001010000
En				10001010001
cada				1000101001
todas				1000101010
Luscinda				1000101011
mal				1000101100
mil				1000101101
luego				1000101110
toda				1000101111
vio				10001100000
cabeza				10001100001
nos				1000110001
han				1000110010
vino				1000110011
son				10001101000
sólo				10001101001
Dios				1000110101
qué				1000110110
pues,				1000110111
gran				10001110000
merced				10001110001
pues				1000111001
entre				1000111010
puesto				1000111011
buena				10001111000
tres				10001111001
Quijote,				1000111101
poco				1000111110
mucha				1000111111
viendo				10010000000
padre				10010000001
caballero				1001000001
haber				10010000100
mas				10010000101
cura				1001000011
algún				10010001000
fin,				10010001001
tiempo				1001000101
armas				10010001100
sea				10010001101
parte				1001000111
sé				10010010000
tal				10010010001
nuevas				1001001001
Fernando,				10010010100
